Date,AMD_Open,AMD_High,AMD_Low,AMD_Close,AMD_Adj _Close,AMD_Volume
10/26/2018,18.49,18.780001,17.049999,17.629999,17.629999,119689000
10/29/2018,18.209999,18.23,16.27,16.85,16.85,94479600
10/30/2018,16.379999,17.24,16.17,17.200001,17.200001,99049400
10/31/2018,17.870001,18.34,17.120001,18.209999,18.209999,110463700
11/1/2018,18.41,20.33,18.08,20.219999,20.219999,136896500
11/2/2018,20.59,21.059999,19.469999,20.23,20.23,123788000
11/5/2018,20.120001,20.18,18.879999,19.9,19.9,108016700
11/6/2018,19.5,21.65,19.48,20.68,20.68,144995700
11/7/2018,21.42,22.219999,21.07,21.84,21.84,121115800
11/8/2018,21.77,22.08,20.969999,21.200001,21.200001,92387600
11/9/2018,20.77,21.190001,20.110001,21.030001,21.030001,85900700
11/12/2018,20.68,20.85,18.799999,19.030001,19.030001,95948200
11/13/2018,19.280001,20.02,18.969999,19.610001,19.610001,76126000
11/14/2018,20.18,21.110001,19.76,20.809999,20.809999,106344300
11/15/2018,20.719999,21.77,20.42,21.49,21.49,97715500
11/16/2018,19.870001,20.969999,19.719999,20.66,20.66,112376600
11/19/2018,20.4,20.59,19.09,19.110001,19.110001,93578200
11/20/2018,17.4,19.58,17.18,19.209999,19.209999,109869400
11/21/2018,20.049999,20.309999,18.5,18.73,18.73,81585600
11/23/2018,18.610001,19.83,18.559999,19.379999,19.379999,54611300
11/26/2018,19.959999,20.190001,19.110001,20.08,20.08,83211000
11/27/2018,19.77,21.450001,19.73,21.049999,21.049999,119230100
11/28/2018,21.82,21.879999,20.18,21.34,21.34,134425300
11/29/2018,21.190001,21.610001,20.73,21.43,21.43,79853700
11/30/2018,21.299999,21.360001,20.52,21.299999,21.299999,82370700
12/3/2018,22.48,23.75,22.370001,23.709999,23.709999,139607400
12/4/2018,23.35,23.42,21.07,21.120001,21.120001,127392900
12/6/2018,20.219999,21.41,20.059999,21.299999,21.299999,103434700
12/7/2018,21.299999,21.379999,19.17,19.459999,19.459999,105764500
12/10/2018,19.35,20.129999,19.27,19.99,19.99,77984500
12/11/2018,20.709999,21.139999,19.690001,19.98,19.98,88027400
12/12/2018,20.32,21.02,19.709999,20.48,20.48,100340700
12/13/2018,20.629999,20.870001,19.76,19.860001,19.860001,88108300
12/14/2018,19.58,20.700001,19.52,19.9,19.9,84713600
12/17/2018,20.01,20.02,18.639999,18.83,18.83,115437900
12/18/2018,19.15,19.84,18.879999,19.5,19.5,101512900
12/19/2018,19.440001,19.719999,18,18.16,18.16,120644500
12/20/2018,18.110001,18.860001,17.34,17.940001,17.940001,119394500
12/21/2018,18.120001,18.34,16.76,16.93,16.93,132246000
12/24/2018,16.52,17.219999,16.370001,16.65,16.65,62933100
12/26/2018,16.879999,17.91,16.030001,17.9,17.9,108811800
12/27/2018,17.43,17.74,16.440001,17.49,17.49,111373000
12/28/2018,17.530001,18.309999,17.139999,17.82,17.82,109214400
12/31/2018,18.15,18.51,17.85,18.459999,18.459999,84732200
1/2/2019,18.01,19,17.98,18.83,18.83,87148700
1/3/2019,18.42,18.68,16.940001,17.049999,17.049999,117277600
1/4/2019,17.549999,19.07,17.43,19,19,111878600
1/7/2019,19.440001,20.68,19,20.57,20.57,107157000
1/8/2019,21.190001,21.200001,19.68,20.75,20.75,121271000
1/9/2019,20.889999,21.440001,20.07,20.190001,20.190001,163944100
1/10/2019,19.76,19.83,18.9,19.74,19.74,115629400
1/11/2019,19.469999,20.35,19.190001,20.27,20.27,85110800
1/14/2019,19.959999,20.620001,19.75,20.23,20.23,71350200
1/15/2019,20.440001,20.68,20.26,20.379999,20.379999,62785800
1/16/2019,20.4,20.540001,19.709999,19.73,19.73,70849300
1/17/2019,19.49,20.51,19.02,20.25,20.25,85018400
